t,x,y,z
12.2,-0.030458447,0.053619861,0.565047818
12.3,-0.030606304,0.055316245,0.565459461
12.4,-0.030730918,0.057026809,0.565743384
12.5,-0.030832044,0.058751136,0.56589923
12.6,-0.030909447,0.0604888,0.56592668
12.7,-0.030962896,0.062239376,0.565825459
12.8,-0.030992169,0.064002429,0.565595333
12.9,-0.030997049,0.065777523,0.565236112
13,-0.030977328,0.067564215,0.564747648
13.1,-0.030932803,0.069362059,0.564129836
13.2,-0.030863281,0.071170605,0.563382613
13.3,-0.030768572,0.072989399,0.56250596
13.4,-0.030648498,0.074817983,0.5614999
13.5,-0.030502886,0.076655895,0.5603645
13.6,-0.030331571,0.07850267,0.559099871
13.7,-0.030134395,0.080357839,0.557706164
13.8,-0.02991121,0.082220929,0.556183577
13.9,-0.029661872,0.084091467,0.554532348
14,-0.029386249,0.085968974,0.552752761
14.1,-0.029084215,0.087852969,0.550845141
14.2,-0.028755651,0.08974297,0.548809857
14.3,-0.028400448,0.09163849,0.546647322
14.4,-0.028018504,0.093539042,0.544357989
14.5,-0.027609726,0.095444135,0.541942358
14.6,-0.027174029,0.097353277,0.539400968
14.7,-0.026711336,0.099265975,0.536734404
14.8,-0.026221578,0.101181734,0.53394329
14.9,-0.025704697,0.103100055,0.531028296
15,-0.02516064,0.105020441,0.527990132
15.1,-0.024589364,0.106942392,0.52482955
15.2,-0.023990835,0.108865409,0.521547345
15.3,-0.023365028,0.110788989,0.518144352
15.4,-0.022711926,0.112712632,0.514621449
15.5,-0.02203152,0.114635834,0.510979555
15.6,-0.02132381,0.116558094,0.507219628
15.7,-0.020588805,0.118478908,0.503342668
15.8,-0.019826525,0.120397774,0.499349716
15.9,-0.019036994,0.122314189,0.495241852
16,-0.018220248,0.124227651,0.491020196
16.1,-0.017376332,0.126137659,0.486685907
16.2,-0.016505299,0.128043711,0.482240182
16.3,-0.01560721,0.129945307,0.47768426
16.4,-0.014682137,0.131841949,0.473019414
16.5,-0.013730157,0.133733138,0.468246958
16.6,-0.012751361,0.135618378,0.463368242
16.7,-0.011745844,0.137497173,0.458384653
16.8,-0.010713713,0.139369031,0.453297615
16.9,-0.009655083,0.14123346,0.448108588
17,-0.008570076,0.14308997,0.442819067
17.1,-0.007458825,0.144938074,0.437430584
17.2,-0.006321472,0.146777287,0.431944704
17.3,-0.005158164,0.148607126,0.426363027
17.4,-0.003969061,0.150427112,0.420687185
17.5,-0.00275433,0.152236767,0.414918846
17.6,-0.001514146,0.154035617,0.409059708
17.7,-0.000248693,0.15582319,0.403111503
17.8,0.001041836,0.15759902,0.397075992
17.9,0.002357241,0.159362642,0.390954971
18,0.003697311,0.161113595,0.384750262
18.1,0.00506183,0.162851422,0.378463718
18.2,0.00645057,0.164575669,0.372097223
18.3,0.007863297,0.166285888,0.365652688
18.4,0.009299769,0.167981633,0.359132051
18.5,0.010759736,0.169662464,0.352537278
18.6,0.012242937,0.171327944,0.345870362
18.7,0.013749106,0.172977642,0.339133321
18.8,0.015277969,0.174611131,0.332328199
18.9,0.016829243,0.176227988,0.325457064
19,0.018402637,0.177827797,0.318522008
19.1,0.019997854,0.179410146,0.311525146
19.2,0.021614587,0.180974628,0.304468614
19.3,0.023252524,0.182520842,0.297354573
19.4,0.024911344,0.184048393,0.290185202
19.5,0.026590718,0.185556889,0.282962701
19.6,0.028290312,0.187045948,0.27568929
19.7,0.030009782,0.188515191,0.268367206
19.8,0.03174878,0.189964245,0.260998707
19.9,0.03350695,0.191392745,0.253586064
20,0.035283927,0.19280033,0.246131568
20.1,0.037079343,0.194186649,0.238637524
20.2,0.038892819,0.195551352,0.231106252
20.3,0.040723974,0.196894101,0.223540086
20.4,0.042572417,0.198214561,0.215941373
20.5,0.044437754,0.199512407,0.208312472
20.6,0.046319581,0.200787318,0.200655755
20.7,0.048217492,0.202038981,0.192973603
20.8,0.050131071,0.203267091,0.185268408
20.9,0.0520599,0.204471349,0.177542572
21,0.054003553,0.205651465,0.169798502
21.1,0.0559616,0.206807155,0.162038617
21.2,0.057933604,0.207938142,0.154265338
21.3,0.059919123,0.209044158,0.146481094
21.4,0.061917711,0.210124942,0.138688321
21.5,0.063928917,0.211180242,0.130889455
21.6,0.065952284,0.212209811,0.123086937
21.7,0.067987351,0.213213412,0.115283212
21.8,0.070033652,0.214190816,0.107480723
21.9,0.072090717,0.215141802,0.099681917
22,0.074158073,0.216066155,0.09188924
22.1,0.07623524,0.216963672,0.084105135
22.2,0.078321737,0.217834154,0.076332045
22.3,0.080417077,0.218677414,0.06857241
22.4,0.08252077,0.219493272,0.060828666
22.5,0.084632324,0.220281554,0.053103245
22.6,0.086751241,0.221042098,0.045398574
22.7,0.088877022,0.22177475,0.037717071
22.8,0.091009163,0.222479362,0.030061152
22.9,0.093147161,0.223155796,0.02243322
23,0.095290505,0.223803924,0.014835673
23.1,0.097438686,0.224423625,0.007270898
23.2,0.099591189,0.225014786,-0.000258728
23.3,0.101747501,0.225577306,-0.00775084
23.4,0.103907102,0.226111089,-0.015203085
23.5,0.106069474,0.226616049,-0.022613121
23.6,0.108234096,0.227092109,-0.029978622
23.7,0.110400445,0.227539202,-0.037297276
23.8,0.112567998,0.227957268,-0.044566785
23.9,0.114736229,0.228346256,-0.051784869
24,0.116904612,0.228706125,-0.058949264
24.1,0.11907262,0.229036841,-0.066057723
24.2,0.121239725,0.22933838,-0.073108019
24.3,0.1234054,0.229610727,-0.080097944
24.4,0.125569115,0.229853876,-0.08702531
24.5,0.127730342,0.230067829,-0.093887948
24.6,0.129888553,0.230252596,-0.100683715
24.7,0.132043218,0.230408198,-0.107410485
24.8,0.13419381,0.230534663,-0.11406616
24.9,0.1363398,0.230632028,-0.120648664
25,0.138480663,0.230700339,-0.127155944
25.1,0.140615871,0.230739652,-0.133585974
25.2,0.142744899,0.230750028,-0.139936756
25.3,0.144867224,0.230731541,-0.146206314
25.4,0.146982323,0.230684271,-0.152392705
25.5,0.149089674,0.230608306,-0.158494009
25.6,0.151188759,0.230503745,-0.164508339
25.7,0.153279061,0.230370693,-0.170433836
25.8,0.155360062,0.230209265,-0.176268669
25.9,0.157431252,0.230019583,-0.182011042
26,0.159492117,0.229801779,-0.187659188
26.1,0.161542151,0.229555992,-0.193211372
26.2,0.163580847,0.22928237,-0.198665891
26.3,0.165607703,0.228981067,-0.204021079
26.4,0.167622218,0.228652248,-0.2092753
26.5,0.169623897,0.228296084,-0.214426955
26.6,0.171612247,0.227912756,-0.219474477
26.7,0.173586777,0.22750245,-0.224416338
26.8,0.175547001,0.227065362,-0.229251045
26.9,0.177492437,0.226601694,-0.233977141
27,0.179422608,0.226111658,-0.238593207
27.1,0.181337038,0.225595471,-0.243097861
27.2,0.183235258,0.225053359,-0.247489759
27.3,0.185116803,0.224485555,-0.251767598
27.4,0.186981212,0.223892298,-0.255930111
27.5,0.188828029,0.223273838,-0.259976072
27.6,0.190656802,0.222630426,-0.263904295
27.7,0.192467086,0.221962326,-0.267713636
27.8,0.19425844,0.221269806,-0.271402988
27.9,0.196030427,0.22055314,-0.274971289
28,0.197782618,0.219812611,-0.278417517
28.1,0.199514588,0.219048506,-0.281740691
28.2,0.201225918,0.218261121,-0.284939875
28.3,0.202916195,0.217450756,-0.288014173
28.4,0.204585012,0.21661772,-0.290962733
28.5,0.206231967,0.215762325,-0.293784746
28.6,0.207856668,0.214884891,-0.296479448
28.7,0.209458724,0.213985743,-0.299046116
28.8,0.211037754,0.213065213,-0.301484073
28.9,0.212593382,0.212123638,-0.303792687
29,0.214125241,0.211161359,-0.305971369
29.1,0.215632969,0.210178725,-0.308019575
29.2,0.217116211,0.209176088,-0.309936805
29.3,0.218574618,0.208153807,-0.311722607
29.4,0.220007852,0.207112244,-0.313376571
29.5,0.221415578,0.206051768,-0.314898335
29.6,0.22279747,0.204972751,-0.31628758
29.7,0.224153211,0.203875571,-0.317544034
29.8,0.225482489,0.202760609,-0.318667471
29.9,0.226785002,0.201628252,-0.31965771
30,0.228060455,0.200478889,-0.320514616
30.1,0.229308559,0.199312915,-0.3212381
30.2,0.230529035,0.198130729,-0.321828119
30.3,0.231721612,0.196932732,-0.322284675
30.4,0.232886026,0.195719329,-0.322607817
30.5,0.234022023,0.19449093,-0.322797639
30.6,0.235129354,0.193247946,-0.322854283
30.7,0.236207783,0.191990795,-0.322777932
30.8,0.237257078,0.190719893,-0.322568819
30.9,0.238277018,0.189435662,-0.322227222
31,0.23926739,0.188138527,-0.321753462
31.1,0.240227989,0.186828914,-0.321147908
31.2,0.241158619,0.185507251,-0.320410972
31.3,0.242059093,0.184173971,-0.319543113
31.4,0.242929232,0.182829506,-0.318544834
31.5,0.243768868,0.181474293,-0.317416682
31.6,0.244577839,0.180108768,-0.316159249
31.7,0.245355993,0.178733369,-0.314773172
31.8,0.246103187,0.177348538,-0.31325913
31.9,0.246819288,0.175954716,-0.311617848
32,0.24750417,0.174552345,-0.309850093
32.1,0.248157718,0.173141869,-0.307956676
32.2,0.248779824,0.171723734,-0.305938449
32.3,0.249370391,0.170298383,-0.303796309
32.4,0.24992933,0.168866265,-0.301531193
32.5,0.250456562,0.167427823,-0.299144082
32.6,0.250952016,0.165983506,-0.296635998
32.7,0.25141563,0.164533759,-0.294008001
32.8,0.251847353,0.16307903,-0.291261197
32.9,0.252247142,0.161619764,-0.288396727
33,0.252614962,0.160156408,-0.285415776
33.1,0.25295079,0.158689407,-0.282319565
33.2,0.253254609,0.157219205,-0.279109358
33.3,0.253526414,0.155746247,-0.275786453
33.4,0.253766206,0.154270975,-0.272352188
33.5,0.253973998,0.152793832,-0.26880794
33.6,0.254149811,0.151315257,-0.265155121
33.7,0.254293675,0.149835689,-0.26139518
33.8,0.254405628,0.148355566,-0.257529603
33.9,0.25448572,0.146875324,-0.253559908
34,0.254534006,0.145395396,-0.249487652
34.1,0.254550553,0.143916214,-0.245314424
34.2,0.254535436,0.142438207,-0.241041847
34.3,0.254488739,0.140961802,-0.236671578
34.4,0.254410554,0.139487424,-0.232205303
34.5,0.254300983,0.138015496,-0.227644745
